section_id,book,map,section_number,print_sheet,short_title,description_catalogue,description_topos,section_type,note
2.02.02,2,2.02,02,EU01,Nordspitze,,,inland,
2.02.04,2,2.02,04,EU01,Westlicher Ozean,Westlicher Ozean,,coast section,
2.02.06,2,2.02,06,EU01,Vergivischer Ozean,Vergivischer Ozean,,coast section,
2.02.08,2,2.02,08,EU01,Hibernischer Ozean,Hibernischer Ozean | Kap Robogdium,,coast section,
2.02.10,2,2.02,10,EU01,Regia 1,,"Above Hibernia are the Ebuda islands five in number, the largest of which toward the west is called Ebuda",inland,
2.02.11,2,2.02,11,EU01,Hibernia,Hibernia | Ebuden (5),,island,"The following five were confirmed against topostext.org/work/209's English translation, which states outright ""the Ebuda islands..."", ""the islands which are near Albion island..."", etc. - independent of our own Modern_location-based guessing. [Ebuda (x2)/Ricina/Maleus/Epidium - the Hebrides, off Ireland's Ptolemaic coast]"
2.02.12,2,2.02,12,EU01,Hibernia,Hibernia,,island,"The following five were confirmed against topostext.org/work/209's English translation, which states outright ""the Ebuda islands..."", ""the islands which are near Albion island..."", etc. - independent of our own Modern_location-based guessing. [Monaoeda/Mona/Edrus/Limnus - Isle of Man, Anglesey, and neighbours]"
2.03.01,2,2.03,01,EU01,Albion,Albion | Duekaledonischer Ozean,,coast section,
2.03.02,2,2.03,02,EU01,Hibernischer Ozean,Hibernischer Ozean | Vergivischer Ozean,,coast section,
2.03.03,2,2.03,03,EU01,Kap der Ganganer (Kap der Ianganer),,,inland,
2.03.04,2,2.03,04,EU01,Britannischer Ozean,Britannischer Ozean | Kap Ocrium,,coast section,
2.03.05,2,2.03,05,EU01,Germanischer Ozean,Germanischer Ozean,,coast section,
2.03.06,2,2.03,06,EU01,Kap Cantium,Kap Cantium,,inland,
2.03.07,2,2.03,07,EU01,Halbinsel der Novanten,Halbinsel der Novanten | Novanten,,inland,
2.03.08,2,2.03,08,EU01,Selgoven,Selgoven,,inland,
2.03.09,2,2.03,09,EU01,Damnonier,Damnonier,,inland,
2.03.10,2,2.03,10,EU01,Gadener,Gadener | Otadener (Otaliner),"Below the Selgovae and Otalini are the Brigantes extending to both seas, among whom are the following towns:
Epiacum",inland,
2.03.13,2,2.03,13,EU01,Kaledonier,Kaledonier | Vakomager,Below the Atrebati and the Canti are the Regni and the town Noeomagus,inland,
2.03.14,2,2.03,14,EU01,Venikonen (Venikomen),Venikonen (Venikomen),The islands which are near Albion island and the Orcades promontory are: Scetis island,inland,
2.03.15,2,2.03,15,EU01,Täzaler,Täzaler,,inland,
2.03.16,2,2.03,16,EU01,Selgoven,Selgoven | Otadener (Otaliner) | Briganten,,inland,
2.03.17,2,2.03,17,EU01,Hafenreicher Golf,Hafenreicher Golf | Pariser,,inland,"The mirror-image problem: sections manually verified to be inland cities despite a coastal-sounding section header, so the section-level fallback must NOT apply to them. ""2.03"" section ""17"" is headed ""Hafenreicher Golf"" (""harbor-rich gulf"") but its actual points - Eboracum (York), Camulodunum (Colchester), Petuaria (Brough-on-Humber) - are inland Roman-Britain towns/legion camps, not capes or mouths. Spliced into the England coastline as ""coastal"" points, they connected East Anglia straight to Kent via a detour up to York and back. [Eboracum/Camulodunum/Petuaria - York/Colchester/Brough]"
2.03.18,2,2.03,18,EU01,Briganten,Briganten | Ordoviken,,inland,
2.03.19,2,2.03,19,EU01,Kornavier,Kornavier,,inland,
2.03.20,2,2.03,20,EU01,Koritaner,Koritaner,,inland,
2.03.21,2,2.03,21,EU01,Katuvellauner,Katuvellauner | Ikener,,inland,
2.03.22,2,2.03,22,EU01,Tamesa-Ästuar,Tamesa-Ästuar | Trinovanten,,inland,
2.03.23,2,2.03,23,EU01,Demeten,Demeten,,inland,
2.03.24,2,2.03,24,EU01,Siluren,Siluren,,inland,
2.03.25,2,2.03,25,EU01,Dobuner,Dobuner,,inland,
2.03.26,2,2.03,26,EU01,Atrebatier,Atrebatier,,inland,
2.03.27,2,2.03,27,EU01,Kantier,Kantier,,inland,
2.03.28,2,2.03,28,EU01,Atrebatier,Atrebatier | Kantier | Regner | Dobuner | Belgen,,inland,
2.03.29,2,2.03,29,EU01,Durotrigen,Durotrigen,,inland,
2.03.30,2,2.03,30,EU01,Dumnonier,Dumnonier,,inland,
2.03.31,2,2.03,31,EU01,Albion,Albion | Kap Orcas,,island,"The following five were confirmed against topostext.org/work/209's English translation, which states outright ""the Ebuda islands..."", ""the islands which are near Albion island..."", etc. - independent of our own Modern_location-based guessing. [Scitis/Dumna/Orkaden - Skye, Lewis, Orkney]"
2.03.32,2,2.03,32,EU01,Thule W,,,island,"The following five were confirmed against topostext.org/work/209's English translation, which states outright ""the Ebuda islands..."", ""the islands which are near Albion island..."", etc. - independent of our own Modern_location-based guessing. [Thule W/O/N/S/Mitte - the island Thule's five extremity points]"
2.03.33,2,2.03,33,EU01,Trinovanten,Trinovanten | Grosser Hafen,,island,"The following five were confirmed against topostext.org/work/209's English translation, which states outright ""the Ebuda islands..."", ""the islands which are near Albion island..."", etc. - independent of our own Modern_location-based guessing. [Tanatis/Counnus/Vectis - Thanet, and the Isle of Wight]"
2.04.03,2,2.04,03,EU02,Tarraconensis,Tarraconensis | Baliarisches Meer,,coast section,
2.04.05,2,2.04,05,EU02,Anas-Mündung (östliche),Anas-Mündung (östliche) | Äusseres Meer | Turdetaner | Turduler,,coast section,
2.04.06,2,2.04,06,EU02,Punier Bastuler,Punier Bastuler,,inland,
2.04.07,2,2.04,07,EU02,Iberisches Meer,Iberisches Meer,,coast section,
2.04.08,2,2.04,08,EU02,Baliarisches Meer,Baliarisches Meer | Kap des Charidemus,,coast section,
2.04.10,2,2.04,10,EU02,Tarraconensis,Tarraconensis | Turduler,"Further inland alongside Lusitania, the Turdetani, with these cities: Canaca",inland,
2.04.11,2,2.04,11,EU02,Corduba*,,In Celtic Baetica: Aruci,inland,
2.04.12,2,2.04,12,EU02,Lusitania,Lusitania | Turdetaner,"The named mountains in Baetica are Marianus, midpoint at",inland,
2.04.13,2,2.04,13,EU02,Italica,,,inland,
2.04.14,2,2.04,14,EU02,Hispalis*,,,inland,
2.04.15,2,2.04,15,EU02,Bätische Keltiker,Bätische Keltiker | Baetica,,inland,
2.04.16,2,2.04,16,EU02,Baetica,Baetica | Äusseres Meer,,coast section,
2.05.01,2,2.05,01,EU02,Lusitania,Lusitania | Baetica | Tarraconensis | Äusseres Meer,,coast section,
