id,point_id,override_type,value,note
41,2.04.03.04,coastline_skip,," Found by the systematic whole-catalogue self-intersection review (2026-07-30), same ""Grenzpunkt"" boundary-marker pattern as the five entries above, this time in Iberia rather than the Aegean/Black Sea: [Anas (Grenzpunkt Baetica, Lusitania, Tarraconensis) - a border marker *up the river Anas/Guadiana itself* (topostext: ""Where the river touches the border of Lusitania"", right after ""Before the river turns towards the east"") at -8.67,39.0 - over 4 degrees inland/east of either of the river's own two mouths. Left in as coastal, its edge from the eastern mouth cut straight back across the walk's own western end (Onoba/Baetis-Mündung, the same estuary as the western Anas mouth that closes this loop).]"
23,2.04.03.04,force_river_point,,"The river-side counterpart of _ISLAND_POINT_OVERRIDES/_MOUNTAIN_POINT_OVERRIDES: a lone river-boundary reference embedded in an otherwise-coastal section (book.map ""2.04"" section ""03"" is headed ""Baliarisches Meer""), where nothing in the bare name itself (""Anas"", the river's own proper name - no ""Mündung""/""Quelle""/course-keyword) tells the classifier it's a river point rather than a plain coastal one. Found by the user spotting it as one of two odd-looking dots sitting inland in Spain on a rendered map. [Anas (Grenzpunkt Baetica, Lusitania, Tarraconensis) - a boundary marker up the river Anas/Guadiana itself (topostext: ""Where the river touches the border of Lusitania"", Modern_location ""Guadiana""), not a coastal point - already excluded from the coastline's own edges (_COASTLINE_SKIP_REF_IDS) but still carried the wrong point category/color]"
47,2.04.03.07,coastline_skip,," Found by the systematic whole-catalogue self-intersection review (2026-07-30), same ""Grenzpunkt"" boundary-marker pattern as the five entries above, this time in Iberia rather than the Aegean/Black Sea: [Baetica (Ostende am Baliarischen Meer) - the very next citation, Baetica's own *eastern* border marker where the province line meets ""the Balearic sea"" (topostext: ""there along the border of Tarraconensis to where the Balearic sea ends"") - a second inland/administrative boundary point in the same short digression as the one above, not a coastal step either.]"
25,2.04.03.07,force_noncoastal_point,,"The second of the two odd-looking Spain dots the user flagged is not river- or lake-related at all: ""Baetica (Ostende am Baliarischen Meer)"" (""Baetica's own eastern end at the Balearic sea"", topostext: ""there along the border of Tarraconensis to where the Balearic sea ends"") is a province-to-sea boundary *endpoint*, the same ""Grenzpunkt"" shape as the many already-non-coastal boundary markers elsewhere (5.03.01.06 etc., all `city`) - just sitting in a section whose header happens to be coastal, with nothing in its own name to redirect it. Cited twice, verbatim (2.04.03.07, then again as 2.06.12.05 orienting the next province's own section) - both listed. The point-level counterpart of `_NONCOASTAL_EXCEPTION_SECTIONS` (which operates on a whole section)."
46,2.05.01.04,coastline_skip,," Found indirectly, by fixing the Durius Grenzpunkt (_RIVER_POINT_OVERRIDES, 2026-07-30): removing that inland point from the coastline exposed a second, previously-hidden bug in the same book.map - the exact Acheloos-/Borysthenes-Mündung shape above, just not visible before because the wrong two-hop path (via the now-removed Grenzpunkt) happened not to cross anything, by coincidence, while the shorter direct edge does. Durius-Mündung (topostext: ""The southern side of Lusitania is the common boundary with...Baetica. The northern side links to Tarraconensis along the western part of the Dourius river...The mouth of the river, which flows into the Outer Sea"") is Lusitania's own *northern* boundary marker, stated first as an orientation point - the walk proper starts at Balsa (the *southern*, Baetica-border end) and runs the whole Algarve-then-west-coast loop back up to Vacua-Mündung, a few hundredths of a degree from Durius- Mündung's own coordinate, closing the loop on its own without this edge. Left in, the direct Durius-Mündung -> Balsa edge (skipping straight from Porto to the Algarve) cut across the walk's own real west-coast return leg three times."
22,2.05.01.06,force_river_point,,"Found by the user auditing the GeoPackage export directly in QGIS (2026-07-30) - the same shape, a different river: ""Durius (Grenzpunkt Lusitania, Tarraconensis)"" (Modern_location ""Douro"", topostext: ""The part of the river where Lusitania begins"") is a boundary marker up the Durius/Douro, not a point on the coast - prompted a full sweep of every ""Grenzpunkt""/""Endpunkt"" name still categorized `coast` (see `_NONCOASTAL_POINT_OVERRIDES` below for the rest of that sweep)."
24,2.05.04.05,force_river_point,,"Same shape again, surfaced by the seventeenth-round batch coastal fix (2.05.04 newly force-coastal): ""Tagus (Grenzpunkt Lusitania, Tarraconensis)"" (Modern_location ""Tejo"") is a boundary marker up the Tagus/Tejo itself, sitting well inland (-8.67 vs. the real Tagus mouth at -12.17) - not a coastal point, just caught by its section becoming coastal like Anas/Durius were."
44,2.05.04.10,coastline_skip,," Found indirectly, by fixing the Durius Grenzpunkt (_RIVER_POINT_OVERRIDES, 2026-07-30): removing that inland point from the coastline exposed a second, previously-hidden bug in the same book.map - the exact Acheloos-/Borysthenes-Mündung shape above, just not visible before because the wrong two-hop path (via the now-removed Grenzpunkt) happened not to cross anything, by coincidence, while the shorter direct edge does. Durius-Mündung (topostext: ""The southern side of Lusitania is the common boundary with...Baetica. The northern side links to Tarraconensis along the western part of the Dourius river...The mouth of the river, which flows into the Outer Sea"") is Lusitania's own *northern* boundary marker, stated first as an orientation point - the walk proper starts at Balsa (the *southern*, Baetica-border end) and runs the whole Algarve-then-west-coast loop back up to Vacua-Mündung, a few hundredths of a degree from Durius- Mündung's own coordinate, closing the loop on its own without this edge. Left in, the direct Durius-Mündung -> Balsa edge (skipping straight from Porto to the Algarve) cut across the walk's own real west-coast return leg three times. [Durius-Mündung - a bit-identical re-citation of 2.05.01.04 (same coordinate, same topostext text), sitting right after Vacua-Mündung where the section-04 walk was force-made coastal by the seventeenth-round batch fix - closes the same loop a second time, at the same node, the same ""would just re-close the loop again"" reasoning as Kallipolis above]"
31,2.06.12.05,force_noncoastal_point,,"The second of the two odd-looking Spain dots the user flagged is not river- or lake-related at all: ""Baetica (Ostende am Baliarischen Meer)"" (""Baetica's own eastern end at the Balearic sea"", topostext: ""there along the border of Tarraconensis to where the Balearic sea ends"") is a province-to-sea boundary *endpoint*, the same ""Grenzpunkt"" shape as the many already-non-coastal boundary markers elsewhere (5.03.01.06 etc., all `city`) - just sitting in a section whose header happens to be coastal, with nothing in its own name to redirect it. Cited twice, verbatim (2.04.03.07, then again as 2.06.12.05 orienting the next province's own section) - both listed. The point-level counterpart of `_NONCOASTAL_EXCEPTION_SECTIONS` (which operates on a whole section)."
29,2.09.14.06,force_noncoastal_point,,"Four more found by the user auditing specific ref_ids directly, all the same ""boundary/limit statement, not a coastal walk point"" shape: [Batavodurum (Nijmegen) - topostext (§2.9.8) is explicit: ""the cities are on the west bank, of the Batavians *in the interior*: Batavodurum..."" - an inland Rhine-valley city listed alongside genuinely coastal river-mouth points in the same section, not itself on the coast. Previously force-stitched to Rhenus-Mündung (östliche) on a name-proximity guess alone (round 21/22) - that pair removed from _BOUNDARY_STITCH_REF_ID_PAIRS.]"
